date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-20,813.0,226700.0,162.0,32169.0,38617.0,2038216.0,3749.4731386553512,532.0547040026643,33710.79021957457
2020-05-21,665.0,227365.0,161.0,32330.0,40644.0,2078860.0,3760.4718137202203,534.7175411236326,34383.01600805057
2020-05-22,642.0,228007.0,156.0,32486.0,42987.0,2121847.0,3771.0900834820936,537.2976814396019,35093.993519349104
2020-05-23,652.0,228659.0,130.0,32616.0,42579.0,2164426.0,3781.8737468539653,539.4477983695763,35798.22297135971
2020-05-24,669.0,229328.0,119.0,32735.0,34206.0,2198632.0,3792.9385793628335,541.4159823285528,36363.96835371898
2020-05-25,531.0,229859.0,50.0,32785.0,20676.0,2219308.0,3801.720980053729,542.242950378543,36705.936181750905
2020-05-26,300.0,230159.0,92.0,32877.0,33944.0,2253252.0,3806.68278835367,543.7645715905248,37267.34825152822
2020-05-27,397.0,230556.0,78.0,32955.0,37299.0,2290551.0,3813.248914670592,545.0546417485095,37884.24987745987
2020-05-28,584.0,231140.0,117.0,33072.0,39838.0,2330389.0,3822.907901494477,546.9897469854865,38543.14494097003
2020-05-29,593.0,231733.0,70.0,33142.0,38233.0,2368622.0,3832.71574256736,548.1475022554727,39175.4943300755
2020-05-30,516.0,232249.0,87.0,33229.0,36051.0,2404673.0,3841.2500528432583,549.5864266624556,39771.7548334794
2020-05-31,416.0,232665.0,111.0,33340.0,28948.0,2433621.0,3848.1304270191763,551.4222957334337,40250.5362557017
2020-06-01,355.0,233020.0,75.0,33415.0,18053.0,2451674.0,3854.0019001741066,552.6627478084189,40549.12133983114
2020-06-02,178.0,233198.0,60.0,33475.0,25628.0,2477302.0,3856.9459064320713,553.6551094684071,40972.992083534096
2020-06-03,318.0,233516.0,55.0,33530.0,20035.0,2497337.0,3862.205423230009,554.5647743233963,41304.358181165146
2020-06-04,321.0,233837.0,71.0,33601.0,27451.0,2524788.0,3867.5145581109455,555.7390689543822,41758.38017997074
2020-06-05,177.0,234014.0,88.0,33689.0,40470.0,2565258.0,3870.4420250079106,557.1945327223649,42427.72811963277
2020-06-06,518.0,234532.0,85.0,33774.0,34036.0,2599294.0,3879.0094140058086,558.6003784073482,42990.66181062207
2020-06-07,270.0,234802.0,72.0,33846.0,27894.0,2627188.0,3883.4750414757555,559.791212399334,43452.01074635057
2020-06-08,197.0,234999.0,53.0,33899.0,16301.0,2643489.0,3886.733295592717,560.6677985323236,43721.618870008366
2020-06-09,280.0,235279.0,65.0,33964.0,32200.0,2675689.0,3891.3643166726615,561.7428569973108,44254.18629420202
2020-06-10,283.0,235562.0,79.0,34043.0,37865.0,2713554.0,3896.044955835606,563.0494665162952,44880.449198459566
2020-06-11,202.0,235764.0,71.0,34114.0,32991.0,2746545.0,3899.3859067575663,564.2237611472813,45426.09925720406
2020-06-12,379.0,236143.0,53.0,34167.0,37651.0,2784196.0,3905.6543245764915,565.1003472802707,46048.82273820765
2020-06-13,163.0,236306.0,56.0,34223.0,32880.0,2817076.0,3908.350240419459,566.0265514962598,46592.636927881176
2020-06-14,346.0,236652.0,78.0,34301.0,29545.0,2846621.0,3914.072859325391,567.3166216542444,47081.29234862036
2020-06-15,338.0,236990.0,44.0,34345.0,17463.0,2864084.0,3919.663163343325,568.0443535382358,47370.11920975992
2020-06-16,301.0,237291.0,26.0,34371.0,27762.0,2891846.0,3924.6415110042653,568.4743769242306,47829.28494983645
2020-06-17,210.0,237501.0,34.0,34405.0,33957.0,2925803.0,3928.114776814224,569.0367151982239,48390.91203130676
2020-06-18,328.0,237829.0,43.0,34448.0,32921.0,2958724.0,3933.5396872221595,569.7479077212155,48935.40433478128
2020-06-19,331.0,238160.0,66.0,34514.0,28570.0,2987294.0,3939.014215713094,570.8395055472024,49407.93387854565
2020-06-20,297.5,238457.5,47.0,34561.0,29875.0,3017169.0,3943.9346756105356,571.6168555141932,49902.04728841477
2020-06-21,264.0,238721.5,49.0,34610.0,24581.0,3041750.0,3948.3010669144837,572.4272842031835,50308.60132115093
2020-06-22,224.0,238945.5,24.0,34634.0,16152.0,3057902.0,3952.0058837784395,572.8242288671788,50575.74508001975
2020-06-23,221.0,239166.5,23.0,34657.0,23225.0,3081127.0,3955.661082559396,573.2046341701742,50959.87173924017
2020-06-24,113.0,239279.5,18.0,34675.0,30237.0,3111364.0,3957.5300303523736,573.5023426681707,51459.972397791214
2020-06-25,577.0,239856.5,-31.0,34644.0,29421.0,3140785.0,3967.07324164926,572.9896224771768,51946.57693776642
2020-06-26,296.0,240152.5,34.0,34678.0,28331.0,3169116.0,3971.968892505202,573.5519607511701,52415.15357425184
2020-06-27,255.0,240407.5,30.0,34708.0,29721.0,3198837.0,3976.1864295601517,574.0481415811643,52906.71992252699
2020-06-28,175.0,240582.5,8.0,34716.0,21183.0,3220020.0,3979.0808177351173,574.1804564691627,53257.07320658582
2020-06-29,174.0,240756.5,22.0,34738.0,15484.0,3235504.0,3981.958666549083,574.5443224111583,53513.16867230677
2020-06-30,126.0,240882.5,6.0,34744.0,28471.0,3263975.0,3984.042626035058,574.6435585771571,53984.06081933216
2020-07-01,142.0,241024.5,23.0,34767.0,29325.0,3293300.0,3986.39121529703,575.0239638801526,54469.077580651385
2020-07-02,182.0,241206.5,21.0,34788.0,29147.0,3322447.0,3989.401378998994,575.3712904611485,54951.15033571264
2020-07-03,201.0,241407.5,30.0,34818.0,25680.0,3348127.0,3992.7257905599545,575.8674712911426,55375.88112618758
2020-07-04,223.0,241630.5,15.0,34833.0,28946.0,3377073.0,3996.4140680629107,576.1155617061396,55854.62946968788
2020-07-05,235.0,241865.5,21.0,34854.0,21166.0,3398239.0,4000.3008178978644,576.4628882871355,56204.70158460971
2020-07-06,192.0,242057.5,7.0,34861.0,13771.0,3412010.0,4003.4763752098265,576.5786638141341,56432.465124938004
2020-07-07,208.0,242265.5,8.0,34869.0,22490.0,3434500.0,4006.9165622977857,576.7109787021325,56804.435353823574
2020-07-08,137.0,242402.5,30.0,34899.0,28679.0,3463179.0,4009.1824547547585,577.2071595321266,57278.767687936925
2020-07-09,193.0,242595.5,15.0,34914.0,29947.0,3493126.0,4012.3745514277207,577.4552499471237,57774.071931798026
2020-07-10,214.0,242809.5,12.0,34926.0,27251.0,3520377.0,4015.9139746816786,577.6537222791213,58224.78605840366
2020-07-11,276.0,243085.5,12.0,34938.0,25449.0,3545826.0,4020.478838317624,577.852194611119,58645.696256487645
2020-07-12,188.0,243273.5,7.0,34945.0,23061.0,3568887.0,4023.588238185587,577.9679701381176,59027.110460504104
2020-07-13,234.0,243507.5,9.0,34954.0,14006.0,3582893.0,4027.458448659541,578.1168243871158,59258.760750667345
2020-07-14,169.0,243676.5,13.0,34967.0,24222.0,3607115.0,4030.2536006685077,578.3318360801132,59659.377152804576
